index,category,series,title,sku,image_count,source_document,folder
39,消防应急,未分组,大音量救生口哨,HYF-9A06,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\035_大音量救生口哨_HYF-9A06
40,消防应急,未分组,水域救援割绳刀,HYF-9A07,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\036_水域救援割绳刀_HYF-9A07
41,消防应急,未分组,牛尾绳,HYF-9A08,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\037_牛尾绳_HYF-9A08
42,热防护,A款阻燃服标品款,A级阻燃春秋分体套装,HYF-3163,7,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\A款阻燃服标品款\001_A级阻燃春秋分体套装_HYF-3163
43,热防护,B款阻燃服标品款,B级阻燃春秋分体套装,HYF-3102,7,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\B款阻燃服标品款\002_B级阻燃春秋分体套装_HYF-3102
44,热防护,A级阻燃服定制款(图片还在生成中）,A级阻燃春秋分体套装,HYF-3165,0,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\A级阻燃服定制款(图片还在生成中）\003_A级阻燃春秋分体套装_HYF-3165
45,热防护,熔融金属飞溅服标品款,防喷溅分体套装,HYF-3542,5,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\熔融金属飞溅服标品款\004_防喷溅分体套装_HYF-3542
46,热防护,阻燃防静电服标品款1,阻燃防静电全棉秋季套装,HYF-33106,4,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\阻燃防静电服标品款1\005_阻燃防静电全棉秋季套装_HYF-33106
47,热防护,阻燃防静电服标品款2,阻燃防静电夏季套装,HYF-33107,4,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\阻燃防静电服标品款2\006_阻燃防静电夏季套装_HYF-33107
48,热防护,防静电服标品款1,防静电夏季分体套装,HYF-6106,2,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\防静电服标品款1\007_防静电夏季分体套装_HYF-6106
49,热防护,防静电服标品款2,防静电夏季连体服,HYF-6102,2,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\防静电服标品款2\008_防静电夏季连体服_HYF-6102
50,热防护,防静电服标品款3,防静电春秋分体套装,HYF-6107,2,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\防静电服标品款3\009_防静电春秋分体套装_HYF-6107
51,热防护,A级焊接服标品款1(配件还在完善中，会加入焊接眼镜）,A级焊接服,HYF-3241,7,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\A级焊接服标品款1(配件还在完善中，会加入焊接眼镜）\010_A级焊接服_HYF-3241
52,热防护,B级焊接服标品款2(配件还在完善中，会加入焊接眼镜）,B级焊接服,HYF-3244（墨绿）、HYF-3230（藏蓝）,7,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\B级焊接服标品款2(配件还在完善中，会加入焊接眼镜）\011_B级焊接服_HYF-3244（墨绿）、HYF-3230（藏蓝）
53,热防护,A级焊接服定制款,A级焊接服,待定,0,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\A级焊接服定制款\012_A级焊接服_待定
54,热防护,B级焊接服定制款,B级空调焊接服,HYF-3243（藏蓝）,0,产品册——热防护4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\热防护\B级焊接服定制款\013_B级空调焊接服_HYF-3243（藏蓝）
